Review,Star
"~Website yang amburadul
Dijelaskan untuk melakukan pendaftaran online tapi website tidak mendukung , sudah buka pagi tapi tetap tidak bisa . Sudah masuk mau daftar tidak bisa karena penuh jadwalnya .
Buat apa online kalau gabisa …",1 bintang
"Bad service Ever
Untuk daftar online cabut berkas saja butuh 3 hari karena website down terus. Begitu bisa, ternyata masih dipersulit dengan persyaratan yg tidak tertulis di syarat untuk cabut berkas atau pindah domisili. Kami harus bolak …",1 bintang
"1. Front officer (terutama yg melayani pertanyaan masyarakat) kurang banyak.
2. Sekarang semua serba daftar online, sedangkan sosialisasi tentang hal ini masih minim. Data di websitenya juga belum sinkron. Saat mau ambil KTP, di web menyatakan saya belum mengurus, padahal saya sudah punya surat KTP sementara",3 bintang
"mau ngaktifin nik ektp ribet bgt si, sya udah dateng ngantri disuruh pulang, katanya daftarnya online dan lewat wa, udah diwa boro-boro diproses dibls jga kga online doang, udah dua hari blom diaktifin ... pdahal butuh bgt buat persyaratan kerja, pasrah lah ... tolong diperbaiki lgi ...",1 bintang
Petugas meremehkan data e-KTP. Sehingga kesalahan bolak balik. Padahal kelihatan sekali mereka santai saat kerja,2 bintang
"Saran nya kalo emang sistemnya online walopun itu kuota nya 20,,tanggal yg muncul saat mau milih tanggal kepengurusan hrsnya d buat seminggu kdepan ato bahkan sebulan
Cz saya sudah nyoba berulang kali utk online surat kepindahan gak dapat …",1 bintang
"Paaraaaahhh, ngurus pindah ga jelas banget, warga d suruh daftar melalui online tapi di batesin setiap harinya, kalo tetep bisa daftar ga masalah untuk hari kedepannya,   inimah malahga bisa,  SISTEM atau VIRUS.",1 bintang
"Ternyata legalisir KTP Tangsel itu di sini, bukan di kelurahan. Antrian nomornya sudah mengular sebelum loket resmi dibuka sekitar pukul 08.00 WIB",4 bintang
Pelayanan yang sangat buruk sekali lempar sana sini system online yg tidak pernah bisa di akses datang kesana petugasnya tidak mau melayani ktp saya sudah 4 thn saja tidak jadi tadi pagi sudah antri lama mau bikin kia buat anak daftar …,1 bintang
"Harusnya pemerintah klo bkin sistem pendaftaran via online bikin situs webnya yg bsa d akses 24/7 full walaupun hari libur atau tgl merah jadi kita tinggal dtg pas hari kerja jgn kaya bgini daftar online hari jumat ga ada tgl pengurusan buat hari senin,daftar hri sabtu situsnya ga bsa d akses ga profesional bgt sih",1 bintang
Benar benar tidak membantu sama sekali,1 bintang
"Pelayanannya sangat buruk. Baru datang dan tanya kepetugas yg ada di depan pintu di jawab ""yaelah bu udah tutup maksimal daftar jam 12"" , kemudian saya coba tanya kembali melalui salah 1 social medianya kenapa hanya sampai jam 12, …",1 bintang
"Kenapa tidak direspon ya.
E KTP suami saya belum jadi sdh 8 thn dan NIK suami saya tidak ditemukan saat dicek di dukcapil online.
Anehnya nama anak saya yg le 3 dan NIK anak ke 3 ukasyah sdh ada di KK online padahal kan belum bikin KK yang baru. Aneh niy Dukcapil.
Ini pesan dari dukcapilonline
Pesan
NIK 3674060505760017 tidak ditemukan",3 bintang
"Luar binasa... Ini antrian sembako apa antrian ngurus data... Menunggu 91 antrian, terpikir saya untuk menghitung berapa lama waktu menunggu jika 1 antrian saja lebih kurang 3 menit... Kebayang harus menunggu 4,5 jam...
Pelayanan yang …",1 bintang
"Kyboard buat isi nama masa ngaco , katanya online apa apa onlin di perhatiin dong, ygm daftar baru susah klo gini caranya mending gak usah online lah nyusahin dong , bikin apa apa di persulit",1 bintang
"KTP UDH JADI KOK GA BUSA BUAT APA2 , BUAT TABUNGAN GAK BISA , DAFTAR PRA KERJA GAK BISA , NEGERA TERCINTAKU SEPERTI INI .",1 bintang
"Aneh bangat pas cetak ektp disuruh foto ulang
Kita mas sebagai warga nurut aja
Trnyata foto di ktp dan data base beda terus kita yang disuruh ke dukcapil lagi
Kok aneh ya kenapa bisa beda gitu
Jadi warga yang disusahkan untuk ngurus ini itu karena ada nya perbedaan",1 bintang
"Walau antri,  staff ramah and membantu... Terima kasih ibu dora divisi konsultasi  sudah melayani dengan sangat baik",4 bintang
SEERVERNYA KAYANYA MURAHAN BANGET MASA SETIAP DI JAM 9 CONECTION TIME OUT!!,1 bintang
Ribet amat. Ektp gue udh 2th blom jd2..,1 bintang
"Permisi, saya mau memperbarui Ektp yg sudah rusak, apa bisa di urus kalau langsung dateng ke kantor dukcapil??
Soalnya saya ikut petunjuk pendaftaran online error terus, kode aktifasi nya tidak muncull
Terimakasihh",1 bintang
Mau sampai kapan antrian online buat lapor datang seperti ini terus? Sudah seminggu,1 bintang
"Mau daftar pindah domisili selalu penuh, bagaimakah ini? apa ada cara lain, karena kami butuh urgent ..",2 bintang
PNS mana ada sih yang bisa kerja bener,1 bintang
"Perlu banyak pembenahan dr segi tempat dan manajemen antrian. Petugas sudah cukup bagus dalam melayani. Ruangan jg luas dibanding kantor serupa di Jakarta, tapi ternyata masih over capacity. Ada bbrp loket yg hanya sedikit antriannya. Harusnya bisa dimanfaatkan utk bagi porsi kerjaan loket lain yg banyak antrian.",3 bintang
"Aplikasi tidak bekerja normal, tdk bisa daftar online, tanya di WA ngak dijawab",1 bintang
Pelayanan Disdukcapil Tangsel patut diacungi jempol. Kenyamanannya sgt terjaga dan staffnya ramah,5 bintang
"Proses lama,mau ambil antrian online aja nunggu minggu dulu,itu juga gk dapet nomer aktifasi,tangsel kenapa ribet banget ya",1 bintang
"Ribet, dateng jauh2 suruh daftar online giliran ke web seharian web ga bisa diakses. Terus gimana gua DAFTARNYA???",1 bintang
"Kecewa, Pelayanan petugasnya gak Ramah dan gak memberi Solusi detail kepada warga, jadi nya harus bolak balik sampe 6x gak selasai2...dari kelurahan ngasih info beda, kecamatan beda, sampe dicapiL Tangsel beda Lg...
Dr sekian petugas cuma …",1 bintang
"Kalo misal pas dateng pertama ada yg kurang, tolonglah di jelasin kurang nya itu apa aja. Jangan setengah2. Hari ini kurang ini, dateng lagi, besoknya dibilang kurang itu. Antrian juga luar biasa. Pantes lah banyak yg lebih pilih bayar calo",2 bintang
"Tempat pengurusan aneka dokumen yang berkaitan dengan kependudukan dan catatan sipil. Seperti : pengurusan dokumen kepindahan penduduk antar kota/kabupaten, kartu keluarga, ektp , akte kelahiran, akte kematian, akte perkawinan,  akte perceraian dll",5 bintang
Tdk berfungi dgn benar lebih baik di ofline ni aja dari pada online servernya gak bener,1 bintang
"Barusan ngurus surat pindah di sini, kantornya di belakang lapangan bola.
ambil nomor antrian dibatasi sampai jam 12 saja.
harus sabar.
petugas baik ramah dan juga sabar.
terima kasih bapak Muchlisin dan bapak Revol sudah mau bantu saya kemaren bikin akte buat anak.",5 bintang
daftar web aja gagal terus ktp bokap gw malah di blokir di web mau urus  pindAH susah amat ya,1 bintang
buruk sekali sistem online nya,1 bintang
